"Enabled","Włączone"
"Are you sure you want to clear the log?","Czy na pewno chcesz wyczyścić log?"
"No financial product types available. Please check your API key configuration.","Brak dostępnych typów produktów finansowych. Sprawdź konfigurację klucza API."
"Unsuccessful attempt to open the application. Please try again later.","Nieudana próba otwarcia wniosku. Spróbuj ponownie za chwilę i powinno się udać!"
"Unsuccessful attempt to open the application. Communication error with Comfino API.","Nieudana próba otwarcia wniosku. Błąd komunikacji z API Comfino."
"Invalid customer e-mail address. Please check your account contact data.","Nieprawidłowy adres e-mail klienta. Sprawdź dane kontaktowe konta."
"Phone number is required. Please add a phone number to your billing or delivery address.","Numer telefonu jest wymagany. Dodaj numer telefonu do adresu rozliczeniowego lub dostawy."
"First name is required.","Imię jest wymagane."
"Last name is required.","Nazwisko jest wymagane."
"Delivery address is required.","Adres dostawy jest wymagany."
"City is required.","Miejscowość jest wymagana."
"Postal code is required.","Kod pocztowy jest wymagany."
"Cart is empty. Please add products to your cart.","Koszyk jest pusty. Dodaj produkty do koszyka."
"Cart total amount must be greater than zero.","Łączna kwota koszyka musi być większa niż zero."
"Order submitted to Comfino - waiting for payment.","Zamówienie przekazane do Comfino — oczekiwanie na płatność."
"Thank you for your order","Dziękujemy za złożenie zamówienia"
"Your application is being processed by Comfino.","Twój wniosek jest przetwarzany przez Comfino."
"You will be informed about the change of the order status.","Zostaniesz poinformowany o zmianie statusu zamówienia."
"Order created — waiting for payment (Comfino)","Zamówienie utworzone — oczekiwanie na płatność (Comfino)"
"Credit granted (Comfino)","Kredyt udzielony (Comfino)"
"Credit rejected (Comfino)","Wniosek kredytowy odrzucony (Comfino)"
"Resigned (Comfino)","Odstąpiono (Comfino)"
"Cancelled by shop (Comfino)","Anulowano przez sklep (Comfino)"
"Cancelled (Comfino)","Anulowano (Comfino)"
